Subject,Action,Object
particle intensity,crossing,unit area
particle intensity,crossing,unit time
particle intensity,crossing,unit solid angle
Covariant relative locality,means,observer dependent spacetimes
Covariant relative locality,appears as sections of,quantum spacetime with Born geometry
Quantum spacetime with Born geometry,realized in,T-duality covariant,unitary,and intrinsically non-commutative formulation of string theory
pressure,increase,CO2 permeability
pressure,increase,CO2/N2 permselectivity
temperature,increase,CO2 permeability
temperature,increase,CO2/N2 permselectivity
CO2 permeability,increase,PAF-1-CH2NH2��cPIM-1
CO2/N2 permselectivity,decrease,PAF-1-CH2NH2��cPIM-1
Tail entity,has_property,removal efficiency of fluoride
Tail entity,has_property,95.5%
removal efficiency of fluoride,using,hybrid CAF-Zr membranes
2012,reach,milestone
machine learning,reach,paradigm-changing performance
machine learning,reach,benchmark problem
benchmark problem,of,image classification
Penning trap,employs,uniform axial magnetic field
Penning trap,employs,static axial electric field confinement
Penning trap,provides,transverse confinement
3K microwave background,has challenged and inspired,astronuclear physics
neutrinos from the Sun,has challenged and inspired,astronuclear physics
observed phenomena,find an explanation in,nuclear radioactivity
supernova SN1987A,has challenged and inspired,astronuclear physics
gravitational signal,interpreted as originating from,coalescence of two neutron stars
stochastic acceleration mechanisms,achieves,maximum energy
maximum energy,limited by,Hillas condition
accelerated particle,fits inside,acceleration site
accelerated particle,in,magnetic field
Tomography,requires,Geometrical alignment
Object,has,Projections
Projections,are aligned for,Each angle
Projections,are consistent with,Each other
Projections,are consistent with,All projections
Projections,are consistent with,Common rotation axis
Tail entity,described by,NKG (Nishimura-Kamata-Greisen
Head entity,lateral distribution of muon density,NKG (Nishimura-Kamata-Greisen
heavy quark,is a,quark
heavy quark,forms,heavy quarkonium
anti-quark,is a,quark
heavy quarkonium,is a bound state of,heavy quark
heavy quarkonium,is a bound state of,anti-quark
heavy quark pairs,are created,early on
heavy quark pairs,recombine into,quarkonium
fusion,is suppressed by,many orders of magnitude
tip collisions,for,heavier Ni+Sm reactions
mass dimension,limitation,fields and interaction terms
leptogenesis,occur at,low energy scales
type I seesaw models,involve,leptogenesis
leptogenesis,occur at,GeV scale
leptogenesis,use,resonant leptogenesis
no-hair theorem,applicability to,NS collapse
Free-Electron Lasers,are,modern light sources
Free-Electron Lasers,use,high-energy beams of electrons
high-energy beams of electrons,moving in,vacuum
high-energy beams of electrons,generate,radiation
Shielding,is a simple countermeasure for,cosmic ray exposure
high-energy beams,used in,radiography
proton beam,experiences,reduced lateral scattering
Dyson-Schwinger approach,is a,non-perturbative approach to solving QCD
Dyson-Schwinger approach,involves,infinite tower of coupled integral equations
file-based data management,faces,challenges
file-based data management,includes,difficulty of selecting events efficiently
file-based data management,includes,I/O bottlenecks during full data scanning
file-based data management,includes,low cache rate hit
file-based data management,includes,too much unnecessary data transfer during remote analysis
Radiobiology research,is essential for,improving radiotherapy
Radiobiology research,is essential for,exploring combined treatments of radiation and drugs,especially immunotherapy
Extent of convective overshoot,defined as,region where macroscopic overshoot diffusivity is larger than microscopic diffusion coefficient
Regions,considered to be,fully mixed in terms of chemical abundances
neutrino energy and flavor,measured in,oscillation experiments
neutrino energy and flavor,requires,high statistics and resolution
neutrino energy and flavor,measured with,high-intensity neutrino source
neutrino energy and flavor,measured with,high-mass,high-performance detector
neutrino energy and flavor,requires,fine granularity
neutrino interaction final state,reconstructed with,precision
neutrino interaction final state,enables,tagging of the interacting neutrino's flavor
neutrino interaction final state,enables,determining neutrino energy with high resolution
Imaging Air Cherenkov Telescopes (IACT),confirmed,13 gamma-ray sources
Imaging Air Cherenkov Telescopes (IACT),played,significant role
Imaging Air Cherenkov Telescopes (IACT),including,four of Galactic origin
heavy meson production,affects,prompt neutrino flux
high-energy colliders,used for,heavy meson production
reliable predictions,depend on,robust description
prompt neutrino flux,dominates,atmospheric neutrino flux
amplitude,is,energy dependent
phase,is,energy dependent
amplitude,grows with,energy
amplitude,reaches,approximately 100 TeV
planets,form through,gravitational instabilities in massive circumstellar disks
planets,form through,the accumulation and agglomeration of rocky building blocks
quark and pion condensates,relate to,concept of pion stars
quark and pion condensates,at,finite isospin density
quark and pion condensates,indicated,possible existence of objects
quark and pion condensates,within,chiral perturbation theory
GWs,probe,primordial black holes
GWs,constrain,primordial black holes
multi-messenger astronomy,probe,primordial black holes
multi-messenger astronomy,constrain,primordial black holes
primordial black holes,existence,formation scenarios
ISOL method,is a method of,producing radionuclides
thick targets,are irradiated with,high energy protons
irradiating thick targets,leads to the production of,a large variety of radionuclides
DQM,stands for,Data Quality Management
DQM,is a stage in,identifying problems
DQM,is a stage in,reducing data loss
DQM,is a stage in,early processing stages of HEP experimentation
8-inch PMT,has,anode
8-inch PMT,has,8th dynode
anode,measures,charge
8th dynode,measures,charge
charge,ranges,from 1 PE to 4000 PEs
current table of elements,holds,118 elements
current table of elements,contains,stable isotopes
current table of elements,contains,unstable isotopes
flat array,denoted as,type
function signature,takes,integers
integers,between,0 and n
integers,to,primitive type P
identification,reveal,progenitors
progenitors,of,short gamma-ray bursts
emission,reveal,progenitors
LHAASO,has objective,build hybrid extensive air shower array
LHAASO,has objective,conduct,high energy gamma ray astronomy studies
LHAASO,has objective,conduct,cosmic ray physics studies
new VELO,has advantage over,current silicon strip VELO
new VELO,cope with,events with much higher track multiplicity
Technology MD,detects,muon
Muon,has,threshold
Threshold,is about,one GeV
Extended scalar sectors,lead to,additional states
additional states,can be produced at,high-energy colliders
additional states,leave imprints in,precision electroweak measurements
Extended scalar sectors,lead to,modified Higgs boson couplings
modified Higgs boson couplings,compared with,the SM
observed anisotropy,explained by,excess
excess,originates from,artifact
artifact,of,heliospheric magnetic field
Random Forest,is an ensemble learning method,decision trees
Random Forest,trains,a number of decision trees
Random Forest,outputs,the average result of all trees
decision trees,are statistical models for,classification and regression
regression tree,is utilized for,residential load forecasting
Neutron stars,play a role in,testing theories of gravity
Neutron stars,provide,unique opportunity
Einstein's equations,tested in the presence of,significant density of energy-matter
Neutron stars,allow for,testing of alternative theories of gravity
directional detectors,offer,potential advantage
directional detectors,reach,below the neutrino floor
white dwarfs,receive information from,their atmospheres
Interplanetary missions,involves,radiation risk problem
Interplanetary missions,faces,hurdles
radiation risk problem,includes,high uncertainty on late biological effects of heavy ions
radiation risk problem,requires,effective countermeasures
UHECR showers,important for,insights into hadronic interactions at ultra-high energies
UHECR showers,important for,inference of the nuclear composition based on shower properties
UHECR showers,significant for,exploring particle physics beyond the energies achievable in collider experiments
Cygnus X-1,contains,black hole
Cygnus X-1,contains,supergiant donor star
Cygnus X-1,distance,1.86 kpc
mechanical vibrations,minimized in,cryostat
interference,minimized in,cryostat
Mechanical decouplings,implemented,cryostat
remote motor option,for,PTs
PTs,to avoid,moving parts in the cold head
Polyurethane rings,used to,minimize vibration transmission
flexible copper braids,used to,minimize vibration transmission
suspending external devices,used to,minimize vibration transmission
active noise cancellation techniques,employed,cryostat
forward multiparticle spectrometer (FMS),is being proposed as,new sub-detector for CMS
effective magnetic field,detected by,observing changes
observing changes,in,orientations of spins
orientations of spins,of,polarized atomic spins
observing changes,leads to,change in observed light polarization rotation
QCD,differs from,QED
QCD,involves,exchange of force-carrying particles
QCD,carries,color charge
gluons,are,force-carrying particles
photons,are,force-carrying particles
KM2A,uses,CORSIKA
KM2A,uses,G4KM2A
simulation data,consists of,protons
CORSIKA,generates,simulation data
G4KM2A,processes,simulation data
QCD,has,order parameters
order parameters,are,chiral condensate
order parameters,are,Polyakov loop
chiral condensate,for,massless quarks
Polyakov loop,for,infinitely massive quarks
Polyakov loop,for,absent quarks
Cherenkov telescopes,detected,pulsed emissions from pulsars
Cherenkov telescopes,such as,MAGIC and H.E.S.S.
Cherenkov telescopes,observing,gamma rays
gamma rays,produced near,surface of the neutron star
neutrinos,solve,remaining puzzles in particle physics
neutrinos,have,potential
neutrinos,solve,dark matter problem
DM,called,invisible matter
DM,does not emit,photons
photons,emitted by,DM
DM,cannot be seen directly
DM,unlike,baryonic matter
SHE,has_component,kinetic velocity
SHE,has_effect,Murakami-Fujita effect
kinetic velocity,is_related_to,spin longitudinal force
ICR ratio,increases with,pH
ICR ratio,achieves,more than 30
ICR ratio,achieves,at pH higher than 10
polarized H or D target,has,main components
polarized H or D target,includes,polarised Atomic Beam Source (ABS
polarized H or D target,includes,Storage Cell
polarized H or D target,includes,Diagnostic System
neutrinos,are,Dirac particles
neutrinos,violate,lepton number
processes,violate,lepton number
primordial black holes,play the role of,stars
surface temperature,must be,sufficiently hot
objects,must live longer than,certain time frame
String cosmology,views,our four-dimensional world
compactification,results in,our four-dimensional world
extra dimensions,associated with,conformal field operators
logical structure,represented using,arrays
list,has,unequal-length sublists
Low-level data structrures,contains,unequal-length sublists
flattened content,is stored in,one array
structure,is stored in,either an offsets array
structure,is stored in,either a parents array
white dwarfs,has_property,"T_{eff}\ \lesssim\ 18,000K"
energy transport,is_dominated_by,electron thermal conduction
energy transport,is_dominated_by,radiation
Planetary bodies,must have,enough self-gravity
Planetary bodies,become,quasispherical
Planet,has,too little mass
Planet,maintain,spherical shape
Imperfections,can be,as large as the planet itself
crater-shaped features,located on,membrane surface
crater-shaped features,caused by,solvent evaporation process
crater-shaped features,caused by,infiltration of membrane solution
SNRs,alternative to,clusters of young stars
clusters of young stars,recognized as,potential CR accelerators
dilution refrigerator,achieves,preliminary cooling
dilution unit,dipped in,liquid {_^4}He (L{_^4}He
dilution unit,reaches,temperature of 4.2K
standard accretion disk model,predicts,presence of the optical to UV continuum
standard accretion disk model,seems at odds with,a number of observational constraints
LHAASO,composed of,Square Kilometer Array (KM2A
LHAASO,composed of,Water Cherenkov Detector Array (WCDA
LHAASO,composed of,Wide Field of view Cherenkov Telescope Array (WFCTA
FRBs,distance is unknown
FRBs,consist of
FRBs,no observable counterparts
FRBs,difficult to localize on the sky
DUNE,has,proposed detector
proposed detector,is,liquid argon time projection chamber (LArTPC
luminosity,determined by,annihilation rate of constituent dark matter particles
fast timing electronics,bring,potential benefit
fast timing electronics,enable,additional topological suppression
fast timing electronics,bring,additional topological suppression
liquid noble gas detectors,have,additional topological suppression
liquid noble gas detectors,be in,xenon
IndexedArray,represents,deferred indirection
IndexedArray,is used to,cross-reference array elements
IndexedArray,stores,locations
IndexedArray,look up,content array
radiopurity,ensured for,acrylic panels
acrylic panels,used in,liquid scintillator vessel
liquid scintillator vessel,in,JUNO
radiopurity,maintained at,level of less than 0.5 ppt U/Th
acrylic panels,maintained at,level of less than 0.5 ppt U/Th
level of less than 0.5 ppt U/Th,through production using,dedicated production line
ionization,obtained using,Saha equation
dissociation,obtained using,Saha equation
low-density conditions,involves,ionization
low-density conditions,involves,dissociation
PEG@ZIF-8/PVDF#6 membrane,has enrichment factor,7.6
Entity1,has_approaches,Vlasov equation
Entity2,is_approach,test wave approach
Entity2,is_approach,test particle approach
spatial distribution,different from,bulk geometry
strange quarks,spatial distribution,eccentric
Tail entity,has_source,primordial heat
Tail entity,accumulated_during,formation of the Earth
radiation,has_fractional_bandwidth,K^2/2
rms angular divergence,has_product_with,source size
rms angular divergence and source size,has_property,diffraction-limited
rms angular divergence and source size,approximately_equal,��s
Workflows,can be excluded from,caching
Workflows,read,part of the accessed file
Workflows,do,sophisticated processing of accessed data
Workflows,benefit from,caching
Workflows,process,data
Trigger setting of scaler mode,is urgent to study,LHAASO
Trigger setting of scaler mode,broadens the energy range of,primary cosmic ray detection
Trigger setting of scaler mode,advances the work related to,physics subjects in the low energy region
nanochannels,determines,conductance
anions,determines,conductance
cations,determines,conductance
electron tomography,is a method for,3D nanoimaging
electron tomography,can be used to image,nanoparticles
nanoparticles,at,atomic resolution
plural scattering effects,begin to degrade,achievable spatial resolution
sample thickness,approaches,1 ��m
Telescope,has,segmented mirror
Segmented mirror,focuses,fluorescence light
Fluorescence light,onto,camera
Advancements,achieve,search for UHECR sources
Advancements,achieve,taking the search into space
taking the search into space,provide,better opportunities
better opportunities,for collecting and studying,high-energy cosmic rays
Kaons,should be studied to search for,CP violation
B and D mesons,should be studied to search for,CP violation
neutrino mixing,should be studied to search for,CP violation
T-violating electric dipole moments of elementary particles,should be studied to search for,CP violation
water Cherenkov technique,has been demonstrated through,simulations
water Cherenkov technique,has been demonstrated through,practice
water Cherenkov technique,has been demonstrated by,Milagro experiment
diagnostic methods,connected to,cosmic-ray induced line spectra
Balmer-line signatures,are,diagnostic methods
rovibrational lines of cosmic-ray spallation products,are,diagnostic methods
lines of the chemical network,follow,cosmic-ray ionization
Dark matter,is a form of,matter
Dark matter,has,visible gravitational effects
Dark matter,poses,a problem in the cosmological standard model
existence,is well established in,dark matter
many unanswered questions,are about,nature of dark matter
radioactive sources,require,close cooperation between fundamental science and the nuclear power industry
recent developments,resolve,issue of target space symmetry
canonical models with flag manifold target spaces,admit,Lax representation
canonical models with flag manifold target spaces,share,virtues of the models with symmetric target spaces
in situ high-pressure XRPD experiments,utilized,pressure transmitting medium
pressure transmitting medium,was,silicone oil
Smoothed Particle Hydrodynamics,is a method for,solving fluid dynamics
FHMR,made of,polyvinylidene fluoride/tetraethyl orthosilicate fibers
FHMR,made of,nanopores
FHMR,made of,microspheres
microspheres,distributed across,surface
Experiments,have measured,cosmic-ray ankle
HiRes,measured,cosmic-ray ankle
TA,measured,cosmic-ray ankle
Auger,measured,cosmic-ray ankle
research,can shed light on,nature and interactions of dark matter
avenues of research,include,direct detection,indirect detection,and collider searches
direct detection,indirect detection,and collider searches,can provide insights into,nature and interactions of dark matter
understanding,improved understanding of,local density and velocity distributions of dark matter
Isolated giant stars,observed at distance,Object: 4 to 5 Mpc
NA62 experiment,has prospect of,pushing the limits for the K^+ modes
NA62 experiment,is foreseen after,LS2
equilibrium densities of membrane cells,significance,Object: agreement with published experimental data,reliability of the models and the force field used for MD method
Recent searches,revealed,higher mass dimension corrections
Recent searches,consistent with,zero
Recent searches,indicate,ultraviolet cut-off scale
ultraviolet cut-off scale,much above,present LHC energies
10.68 g Mg{Cl}_2��6H2O,was prepared by adding,Struvite-K
25 g KH_2PO_4,was prepared by adding,Struvite-K
94.32 g deionized water,was prepared by adding,Struvite-K
KOH solution,was added to,Struvite-K
Struvite-K,reached,pH 7.5
Particle production observables,are considered as,promising probes
promising probes,for the investigation of,EoS
EoS,at,collision energies above particle production thresholds
collision energies,above,particle production thresholds
promising probes,include,yields of pions
COFs-polyamide hybrid membranes,has_property,separation performance
COFs-polyamide hybrid membranes,can_be_tuned_by,changing TMC contents of the organic phase
WFCTA,has_purpose,detect Cherenkov radiation
WFCTA,detects,Cherenkov radiation
WFCTA,detects,air showers
WFCTA,induced_by,CRs
CRs,has_energy_range,0.1 to 1000 PeV
Vlasov equation,is a,partial differential equation
Vlasov equation,describes,evolution of distribution function
Vlasov equation,takes into account,interactions between plasma particles and electromagnetic fields
neutrino signatures,has_alternative_explanation,dark matter signatures
dark matter signatures,is_alternative_explanation_for,neutrino signatures
HiSCORE,measure,gamma-quanta fluxes
HiSCORE,measure,spectrum of charged cosmic rays
upgraded configuration,uses,20 PMTs
upgraded configuration,located in,other two pools of the WCDA
differential sensitivity,expected around,50 GeV
differential sensitivity,measures,0.2 crab unit per a quart decade of energy
 new facilities,enable,realistic GCR simulator 
 new facilities,enable,study risk in interplanetary missions 
 new facilities,enable,shielding materials 
polarized emission,has potential source,MAXI J1820+070
MAXI J1820+070,could be,scattering of the accretion disk radiation
MAXI J1820+070,could be,hot optically thin and geometrically thick accretion flow
hot optically thin and geometrically thick accretion flow,close to,disk inner radius
hot optically thin and geometrically thick accretion flow,close to,dust scattering
Superradiance,is another mode of operation for,FERMI
Superradiance,can provide,pulses with durations below 10 fs
Superradiance,can provide,higher peak power compared to normal operation
Bremsstrahlung,is a term used to describe,phenomenon
Bremsstrahlung,emitting,radiation
free electrons,decelerating,emitting radiation
free electrons,deflected by,free ions
Isotopic spin degrees of freedom,related to,flag manifolds
symplectic form,represents,concept of representation of the gauge group
particle,charged with respect to,representation of the gauge group
active neutrinos,different from,charged leptons
active neutrinos,light,coherent quantum-mechanical superpositions of mass eigenstates
charged leptons,heavy,well aligned with their mass eigenstates
universe,has,dominant background radiation
cosmic microwave background,consists of,relic black-body radiation
Big Bang,produced,relic black-body radiation
cosmic microwave background,redshifted by,"factor of 1+z\approx1,100"
Contemporary studies of quarkonium in medium,include,non-equilibrium quantum field theory
Contemporary studies of quarkonium in medium,include,concept of spectral functions
Contemporary studies of quarkonium in medium,include,effective field theories for heavy quarkonium
Contemporary studies of quarkonium in medium,include,lattice QCD
Contemporary studies of quarkonium in medium,include,modern methods for spectral function reconstruction
Contemporary studies of quarkonium in medium,include,open quantum systems framework
Tensor currents,involve,right-handed neutrinos
Scalar currents,involve,right-handed neutrinos
neutrino asymmetry coefficient B,plays a role in,scalar currents
neutrino asymmetry coefficient B,plays a role in,tensor currents
test particle approach,involves,electromagnetic fields
test particle approach,involves,particle distribution function f
electromagnetic fields,predefined as,test particle approach
particle distribution function f,determined based on,interactions
Installation process,takes,several minutes
Replacement process,takes,several minutes
Fibers,used for,testing
ED array,has_purpose,measure
ED array,measures,densities
ED array,measures,arrival times
ED array,is_used_in,LHAASO
LHAASO,has,electromagnetic detector array
EASs,are,secondary particles
EASs,occur_in,extensive air showers
LHCb scenario,is based on,reconstruction workflow
reconstruction workflow,decodes,raw detector data
reconstruction workflow,transforms,quantities
raw detector data,is decoded into,quantities
raw detector data,is transformed into,quantities
CALIPSO and MODIS data,focus on,variability of the extinction coefficients
variability of the extinction coefficients,of,atmospheric aerosols
atmospheric aerosols,over,LHAASO region
PET isotopes,emit,positrons
positrons,are antiparticles of,electrons
positron,annihilate to produce,two back-to-back gamma rays
gamma rays,leave,body
lower mantle,has composition,pyrolitic
pyrolitic composition,has been tested using,high P-T experiments
pyrolitic composition,requires,at least five oxide components
mantle system,is described by,at least five oxide components
WFCTA,operated in,fluorescence observation mode
WFCTA,used for,second knee study
second knee study,involves,energies from 100 PeV to 1 EeV
expanding layer of the target,doped with,bromine
bromine,possesses,higher atomic number
bromine,has,higher opacity at the XFEL beam energy
cryogenic calorimeters,have,very low energy thresholds
cryogenic calorimeters,have,high quenching factors
cryogenic calorimeters,have,a wide choice of materials
cryogenic calorimeters,have,ease of dual readout implementation for event-by-event background rejection
neutrinos,play a role in,extreme environments
neutrinos,govern,various processes
neutrinos,control,core-collapse supernova explosions
neutrinos,drive,winds from neutron star merger accretion disks
neutrinos,determine,the ratio between protons and neutrons in astrophysical outflows
neutrinos,redistribute,energy in the formation of large-scale structure in the early Universe
neutrinos,play a key role in,the primordial plasma and the formation of light elements
effort,focus on,constraining
effort,focus on,abundance of primordial black holes
abundance of primordial black holes,in,lower mass range
primordial black holes,with a mass less than,{10}^{23} grams
lateral distribution of secondary particles,described by,NKG function
NKG function,is a,function
NKG function,used to describe,lateral distribution of secondary particles
fluorescence light,is pixelized using,440 photomultiplier tubes
fluorescence light,is detected by,fluorescence detector system
fluorescence detector system,contains,440 photomultiplier tubes
PEG membrane,has property,range of crystallization exothermic peak
PEG membrane,has property,range of crystallization melting endothermic peak
achievable luminosities,allow for,completion of some physics cases
achievable luminosities,allow for,rear region covered by the CB
heat blanketing envelope,purpose,neutron star
heat blanketing envelope,provide,thermal insulation
heat blanketing envelope,relate,internal temperature
neutron star,have,warm interior
neutron star,have,effective surface temperature
parton distribution functions,determined in,global analyses
global analyses,use,experimental information
experimental information,from,fixed-target experiments
experimental information,from,collider experiments
X,represents,previous hour of the HP data
X,is,input of the LSTM model
O,is,predicted HP electricity consumption in the next hour
O,is,output of the LSTM model
dilution refrigerator,relies on,properties of mixture of two isotopes of helium
mixture of two isotopes of helium,undergoes,spontaneous phase separation
mixture,gives rise to,3He-rich phase and 3He-poor phase
3He-rich phase,is,concentrated phase
3He-poor phase,is,diluted phase
diluted phase,is,4He-rich
pumping,on,4He-rich phase
pumping,removes,most of 3He
disturbing,equilibrium
equilibrium,is restored by,crossing of 3He from 3He-rich side to 4He-rich side
crossing of 3He,requires,extra energy supplied by surrounding chamber
process,results in,cooling the mixture
causal fermion systems,is based on,minimizing the causal action
causal fermion systems,combines,mathematical structures of quantum mechanics,quantum field theory,and general relativity
Rare kaon decays,role in,particle physics
Rare kaon decays,offer,opportunity to measure higher-order electroweak interactions
Higher-order electroweak interactions,may show,deviations from the Standard Model predictions
Rare kaon decays,complementary to,searches for New Physics performed at colliders
Searches for New Physics,performed at,colliders
Users,access,GPUs
Users,use,standard Grid sites
Users,make,minimal changes to their client commands
ultra-high-energy cosmic rays,have,energies above 1 EeV
cosmic rays,known as,UHECRs
interpolation approach,has_goal,comprehensive understanding of the thermodynamic properties of neutron-star matter
bulk modulus,isMeasureOf,elastic deformation
bulk modulus,reflects,resistance to volume change
yield strength,isDeterminingFactorFor,hardness
NASA Space Radiation Laboratory,located at,Brookhaven National Laboratory
NASA Space Radiation Laboratory,is a,Galactic Cosmic Ray simulator
NASA Space Radiation Laboratory,provides,reasonable simulation of the overall GCR spectrum
NASA Space Radiation Laboratory,has,energy limit of 1.5 GeV/n
CO_2 fixed carrier membrane,uses,amine group
amine group,shows,weak alkalinity
amine group,has,reversible chemical reaction with CO_2
Standard Model,contains,Higgs boson
Standard Model,contains,force-mediating particles
Standard Model,contains,leptons
Standard Model,contains,neutrinos
Standard Model,contains,quarks
SBN program,has goals,searches for new physics - particularly eV-scale sterile neutrinos
SBN program,has goals,includes,detailed studies of neutrino-nucleus interactions at the GeV energy scale
SBN program,has goals,includes,the advancement of the liquid argon detector technology
limitations,of,nonperturbative field theory tools
nonperturbative field theory tools,such as,lattice QCD
lattice QCD,make it difficult to describe,physically relevant limits
physically relevant limits,such as,real-time phenomena
physically relevant limits,such as,sizeable baryon densities
Tail entity,requires,ultra-quiet environment
Tail entity,requires,shielding from cosmic radiation
Tail entity,requires,shielding from local radioactivity
Tail entity,hosted,deep underground
3D RHD simulations,contribute to,understanding of convection in white dwarfs
3D RHD simulations,provide,parameter-free,time- and spatially-averaged temperature and pressure stratifications for convection zones
3D RHD simulations,demonstrate,no single 1D MLT parametrization can reproduce the full surface-averaged emergent spectrum of a 3D RHD model of a white dwarf at all wavelengths
Technology: scalable flexible hybrid membranes with photonic structures,hasProperty,average radiative cooling power
average radiative cooling power,hasValue,61 W [$m^{-2}$]
PEG,has_effect_on,PV performance
cross-linking,is_crucial_to,membrane structure
cross-linking,is_crucial_to,PV performance
cross-linking,is_crucial_to,membrane stability
four kinds of cross-linkers,has_effect_on,pervaporation performance
four kinds of cross-linkers,was_investigated_to_find,optimal one
primary particles,responsible for,very high energy ��-ray emission
leptonic and hadronic origins,considered for,primary particles
Dirac equation,assumes,invariance of the theory
invariance of the theory,under,group of Lorentz transformations
Lorentz transformations,encompass,boosts
Lorentz transformations,encompass,spatial rotations
Lorentz transformations,encompass,time-reversal
Lorentz transformations,encompass,parity transformations
invariance of the theory,reflected in,form of the kinetic term in the Dirac equation
Dirac equation,assumes invariance under,group of Lorentz transformations
group of Lorentz transformations,encompasses,boosts
group of Lorentz transformations,encompasses,spatial rotations
group of Lorentz transformations,encompasses,time-reversal
group of Lorentz transformations,encompasses,parity transformations
COFs-polyamide hybrid membrane,is a,Stable membrane material
COFs-polyamide hybrid membrane,is composed of,COFs
COFs-polyamide hybrid membrane,is composed of,Polyamide
COFs-polyamide hybrid membrane,is fabricated by,IP process
COFs-polyamide hybrid membrane,is a,In-situ fabricated composite
Concentration of zeolitic constituents,positively correlated to,Elastic properties of tobermorite supergroup minerals
H_2O,is a type of,Zeolitic constituents
{Ca}^{2+},is a type of,Zeolitic constituents
Interlayer spacing,negatively correlated to,Elastic properties of tobermorite supergroup minerals
AnDY experiment,located at,RHIC
AnDY experiment,observed,single-production
AnDY experiment,observed,double-production
single-production,observed in,Cu+Au collisions
double-production,observed in,Cu+Au collisions
single-production,direction of observation,forward direction
double-production,direction of observation,forward direction
Cosmic ray electrons (CREs),flux comparison at 1 TeV,hadronic particles
